"id_empresa","ciiu","sector","clase_riesgo","n_trabajadores","ciudad","departamento","antiguedad_meses","prima_anual","fecha_afiliacion"
"E00001","2591","Servicios profesionales",1,26,"Bucaramanga","Santander",194,525724,2009-01-25
"E00002","4488","Salud",3,12,"Manizales","Caldas",79,1584194,2018-07-07
"E00003","1925","Salud",3,51,"Barranquilla","Atlantico",79,5542449,2018-07-07
"E00004","4965","Transporte",4,18,"Medellin","Antioquia",112,3892180,2015-10-21
"E00005","4247","Transporte",3,35,"Bogota","Cundinamarca",178,3280807,2010-05-20
"E00006","6292","Agricultura",4,26,"Medellin","Antioquia",153,7112220,2012-06-08
"E00007","9217","Educacion",1,47,"Cali","Valle",205,1075024,2008-03-01
"E00008","7680","Construccion",5,29,"Bogota","Cundinamarca",135,13807139,2013-11-30
"E00009","8857","Inmobiliario",1,30,"Medellin","Antioquia",186,520164,2009-09-22
"E00010","4163","Comercio",4,23,"Medellin","Antioquia",79,5365796,2018-07-07
"E00011","4336","Administracion publica",2,39,"Barranquilla","Atlantico",177,2235223,2010-06-19
"E00012","7129","Comercio",3,121,"Barranquilla","Atlantico",174,12479207,2010-09-17
"E00013","2679","Servicios profesionales",1,61,,,88,1580448,2017-10-10
"E00014","4091","Comercio",4,60,"Cali","Valle",139,12107846,2013-08-02
"E00015","6716","Construccion",5,98,"Bogota","Cundinamarca",198,42485344,2008-09-27
"E00016","9276","Construccion",5,19,"Bogota","Cundinamarca",31,6562961,2022-06-16
"E00017","6732","Educacion",1,19,"Cali","Valle",155,638691,2012-04-09
"E00018","1711","Construccion",5,14,"Barranquilla","Atlantico",15,5274362,2023-10-09
"E00019","2988","Manufactura",3,124,"Bogota","Cundinamarca",165,17992742,2011-06-14
"E00020","5309","Inmobiliario",2,7,"Medellin","Antioquia",239,512488,2005-05-16
"E00021","3197","Manufactura",4,103,"Medellin","Antioquia",190,20504586,2009-05-25
"E00022","4902","Servicios profesionales",2,269,"Bogota","Cundinamarca",155,12735093,2012-04-09
"E00023","3325","Administracion publica",2,94,"Cali","Valle",215,5433173,2007-05-06
"E00024","8648","TIC",1,3,"Medellin","Antioquia",154,,2012-05-09
"E00025","4488","Financiero",2,50,"Pereira","Risaralda",101,2368585,2016-09-15
"E00026","9577","Servicios profesionales",1,8,"Manizales","Caldas",9,212994,2024-04-06
"E00027","5000","Inmobiliario",1,48,"Bogota","Cundinamarca",53,1073878,2020-08-25
"E00028","9148","Comercio",3,91,"Medellin","Antioquia",123,14145167,2014-11-25
"E00029","1220","Financiero",1,91,"Cali","Valle",31,2323813,2022-06-16
"E00030","7136","TIC",1,14,"Medellin","Antioquia",80,345004,2018-06-07
"E00031","4184","Servicios profesionales",1,70,"Bogota","Cundinamarca",143,1468212,2013-04-04
"E00032","5901","Comercio",3,3,"Bogota","Cundinamarca",164,370521,2011-07-14
"E00033","3292","Educacion",1,55,"Bogota","Cundinamarca",238,1171148,2005-06-15
"E00034","4030","Construccion",5,12,"Barranquilla","Atlantico",75,4293932,2018-11-04
"E00035","6326","Transporte",3,31,"Medellin","Antioquia",211,4339673,2007-09-03
"E00036","3584","Mineria",5,25,"Bogota","Cundinamarca",9,,2024-04-06
"E00037","7075","Comercio",3,20,"Bogota","Cundinamarca",48,2299789,2021-01-22
"E00038","5942","Inmobiliario",2,38,"Bogota","Cundinamarca",182,1649701,2010-01-20
"E00039","5432","Servicios profesionales",1,95,"Medellin","Antioquia",22,,2023-03-13
"E00040","5133","Construccion",4,9,"Bogota","Cundinamarca",192,2109735,2009-03-26
"E00041","1769","Manufactura",5,12,"Barranquilla","Atlantico",191,4467534,2009-04-25
"E00042","4265","Salud",4,14,"Bogota","Cundinamarca",76,2999796,2018-10-05
"E00043","5936","Manufactura",4,38,"Bucaramanga","Santander",222,6229236,2006-10-08
"E00044","3168","Alojamiento y comida",2,8,"Medellin","Antioquia",136,431515,2013-10-31
"E00045","1891","Agricultura",4,23,"Bogota","Cundinamarca",36,,2022-01-17
"E00046","5806","Financiero",1,35,"Medellin","Antioquia",36,748685,2022-01-17
"E00047","6430","TIC",1,50,"Bogota","Cundinamarca",76,1168476,2018-10-05
"E00048","6461","Manufactura",4,39,"Bogota","Cundinamarca",160,7088897,2011-11-11
"E00049","7956","Alojamiento y comida",4,117,"Bogota","Cundinamarca",98,31994134,2016-12-14
"E00050","4727","Comercio",2,16,"Medellin","Antioquia",226,724322,2006-06-10
"E00051","8083","Transporte",4,9,"Bogota","Cundinamarca",160,2321084,2011-11-11
"E00052","9261","TIC",1,10,"Bogota","Cundinamarca",6,271815,2024-07-05
"E00053","7213","Servicios profesionales",1,12,"Bogota","Cundinamarca",30,,2022-07-16
"E00054","2724","Agricultura",3,29,"Barranquilla","Atlantico",139,2895431,2013-08-02
"E00055","1584","Construccion",5,53,"Bogota","Cundinamarca",76,19661392,2018-10-05
"E00056","9559","Inmobiliario",1,32,"Medellin","Antioquia",123,702089,2014-11-25
"E00057","3608","Transporte",3,10,"Barranquilla","Atlantico",32,1388242,2022-05-17
"E00058","3321","Financiero",1,174,"Bogota","Cundinamarca",160,5029908,2011-11-11
"E00059","5384","Educacion",1,36,,,150,909071,2012-09-06
"E00060","8793","Salud",4,17,"Cali","Valle",197,4513277,2008-10-27
"E00061","3872","Financiero",1,47,"Medellin","Antioquia",190,1140777,2009-05-25
"E00062","2624","Alojamiento y comida",3,14,,,61,1936627,2019-12-29
"E00063","9165","Inmobiliario",1,25,"Bucaramanga","Santander",200,569625,2008-07-29
"E00064","2132","Mineria",5,28,"Medellin","Antioquia",179,8633492,2010-04-20
"E00065","9427","TIC",2,40,"Medellin","Antioquia",114,2354415,2015-08-22
"E00066","8562","Transporte",4,36,"Medellin","Antioquia",221,8797676,2006-11-07
"E00067","5590","Servicios profesionales",1,19,"Bogota","Cundinamarca",184,505243,2009-11-21
"E00068","6355","Comercio",3,255,"Medellin","Antioquia",46,35129777,2021-03-23
"E00069","2930","Alojamiento y comida",2,30,,,229,1797106,2006-03-12
"E00070","7480","Financiero",1,6,"Cali","Valle",172,170223,2010-11-16
"E00071","4435","Comercio",3,141,"Medellin","Antioquia",156,16687271,2012-03-10
"E00072","2622","TIC",1,85,"Manizales","Caldas",13,2719438,2023-12-08
"E00073","6097","Salud",3,45,"Medellin","Antioquia",218,6180400,2007-02-05
"E00074","3785","Inmobiliario",2,53,"Pereira","Risaralda",161,3257433,2011-10-12
"E00075","8155","Construccion",5,18,"Barranquilla","Atlantico",35,5675646,2022-02-16
"E00076","1656","Construccion",5,25,"Medellin","Antioquia",50,8980744,2020-11-23
"E00077","5224","Construccion",4,23,"Bogota","Cundinamarca",7,,2024-06-05
"E00078","1897","Administracion publica",3,11,"Bogota","Cundinamarca",26,1373839,2022-11-13
"E00079","9036","Salud",3,34,"Pereira","Risaralda",7,4952491,2024-06-05
"E00080","3141","Salud",3,21,"Medellin","Antioquia",224,2934751,2006-08-09
"E00081","5677","Energia",4,14,"Barranquilla","Atlantico",31,,2022-06-16
"E00082","1843","Transporte",4,12,"Medellin","Antioquia",238,3015251,2005-06-15
"E00083","2014","TIC",1,79,"Bucaramanga","Santander",237,2357488,2005-07-15
"E00084","4910","TIC",1,20,"Bogota","Cundinamarca",17,636852,2023-08-10
"E00085","5134","Comercio",2,51,"Bogota","Cundinamarca",145,2701995,2013-02-03
"E00086","6928","Mineria",5,19,"Bogota","Cundinamarca",216,6764714,2007-04-06
"E00087","7830","Servicios profesionales",1,37,"Medellin","Antioquia",17,987116,2023-08-10
"E00088","7372","Manufactura",4,66,"Cali","Valle",69,14765443,2019-05-03
"E00089","9516","Construccion",5,186,"Manizales","Caldas",221,56637718,2006-11-07
"E00090","6558","Transporte",5,20,"Medellin","Antioquia",18,,2023-07-11
"E00091","6714","TIC",1,17,"Bogota","Cundinamarca",152,314043,2012-07-08
