"id_empresa","id_servicio","fecha_uso","canal"
"E00001","SV011",2022-01-01,"presencial"
"E00003","SV017",2022-01-01,"virtual"
"E00116","SV009",2022-01-01,"autogestion"
"E00131","SV026",2022-01-01,"virtual"
"E00252","SV022",2022-01-01,"virtual"
"E00289","SV023",2022-01-01,"autogestion"
"E00297","SV005",2022-01-01,"virtual"
"E00374","SV001",2022-01-01,"virtual"
"E00483","SV005",2022-01-01,"presencial"
"E00494","SV015",2022-01-01,"autogestion"
"E00524","SV013",2022-01-01,"virtual"
"E00575","SV013",2022-01-01,"presencial"
"E00720","SV033",2022-01-01,"autogestion"
"E00853","SV005",2022-01-01,"virtual"
"E00933","SV013",2022-01-01,"presencial"
"E00992","SV040",2022-01-01,"autogestion"
"E01071","SV011",2022-01-01,"autogestion"
"E01073","SV013",2022-01-01,"virtual"
"E01116","SV038",2022-01-01,"virtual"
"E01140","SV004",2022-01-01,"virtual"
"E01161","SV015",2022-01-01,"autogestion"
"E01177","SV034",2022-01-01,"virtual"
"E01200","SV015",2022-01-01,"presencial"
"E01222","SV015",2022-01-01,"autogestion"
"E01259","SV004",2022-01-01,"autogestion"
"E01355","SV028",2022-01-01,"autogestion"
"E01416","SV038",2022-01-01,"presencial"
"E01421","SV015",2022-01-01,"virtual"
"E01583","SV015",2022-01-01,"presencial"
"E01583","SV004",2022-01-01,"autogestion"
"E01624","SV038",2022-01-01,"virtual"
"E01630","SV028",2022-01-01,"virtual"
"E01814","SV024",2022-01-01,"virtual"
"E01851","SV011",2022-01-01,"autogestion"
"E01872","SV029",2022-01-01,"presencial"
"E01878","SV038",2022-01-01,"virtual"
"E01965","SV015",2022-01-01,"presencial"
"E01976","SV008",2022-01-01,"presencial"
"E02090","SV031",2022-01-01,"autogestion"
"E02116","SV024",2022-01-01,"presencial"
"E02119","SV028",2022-01-01,"virtual"
"E02173","SV013",2022-01-01,"autogestion"
"E02240","SV031",2022-01-01,"virtual"
"E02368","SV004",2022-01-01,"autogestion"
"E02376","SV009",2022-01-01,"virtual"
"E02452","SV024",2022-01-01,"virtual"
"E02490","SV013",2022-01-01,"virtual"
"E02519","SV028",2022-01-01,"virtual"
"E02572","SV005",2022-01-01,"virtual"
"E02668","SV010",2022-01-01,"presencial"
