dataset,variable_faltante,modelo,termino,coef,or,or_ic95_lo,or_ic95_hi,p_valor
empresas,ciudad,geo_base,C(sector)[T.Agricultura],0.4854,1.6249,0.6488,4.0693,0.3000518516900247
empresas,ciudad,geo_base,C(sector)[T.Alojamiento y comida],-0.3208,0.7255,0.2756,1.9097,0.5158506943544765
empresas,ciudad,geo_base,C(sector)[T.Comercio],-0.0417,0.9592,0.4454,2.0656,0.9152140721230817
empresas,ciudad,geo_base,C(sector)[T.Construccion],0.333,1.3951,0.5214,3.7328,0.5072574925863835
empresas,ciudad,geo_base,C(sector)[T.Educacion],0.0893,1.0935,0.4867,2.4565,0.8287195128393415
empresas,ciudad,geo_base,C(sector)[T.Energia],-0.4595,0.6316,0.1913,2.0847,0.4507289553808652
empresas,ciudad,geo_base,C(sector)[T.Financiero],-0.0745,0.9282,0.398,2.165,0.8631739654360342
empresas,ciudad,geo_base,C(sector)[T.Inmobiliario],0.3773,1.4583,0.6666,3.1902,0.3448554687492841
empresas,ciudad,geo_base,C(sector)[T.Manufactura],-0.016,0.9841,0.3868,2.5038,0.9731970348784247
empresas,ciudad,geo_base,C(sector)[T.Mineria],0.2042,1.2266,0.3919,3.8386,0.7257006562980176
empresas,ciudad,geo_base,C(sector)[T.Salud],-0.3691,0.6914,0.2726,1.7532,0.43694688259577463
empresas,ciudad,geo_base,C(sector)[T.Servicios profesionales],-0.245,0.7827,0.3445,1.7783,0.5584038511524207
empresas,ciudad,geo_base,C(sector)[T.TIC],0.0498,1.0511,0.4706,2.3475,0.9032888253127555
empresas,ciudad,geo_base,C(sector)[T.Transporte],-0.3984,0.6714,0.2341,1.9257,0.4586418467086115
empresas,ciudad,geo_base,C(clase_riesgo)[T.2],0.1376,1.1475,0.7218,1.8243,0.5607961932610981
empresas,ciudad,geo_base,C(clase_riesgo)[T.3],-0.0008,0.9992,0.4989,2.001,0.9981883991173304
empresas,ciudad,geo_base,C(clase_riesgo)[T.4],0.0736,1.0764,0.4913,2.3583,0.8539986127226328
empresas,ciudad,geo_base,C(clase_riesgo)[T.5],-0.0104,0.9896,0.3956,2.4754,0.9822234845286476
empresas,ciudad,geo_full,C(sector)[T.Agricultura],0.4664,1.5942,0.6357,3.9976,0.3201097624149174
empresas,ciudad,geo_full,C(sector)[T.Alojamiento y comida],-0.3314,0.7179,0.2724,1.8923,0.5027557674474142
empresas,ciudad,geo_full,C(sector)[T.Comercio],-0.0561,0.9454,0.4388,2.0371,0.886048762745993
empresas,ciudad,geo_full,C(sector)[T.Construccion],0.3184,1.375,0.5133,3.6829,0.5264404689857353
empresas,ciudad,geo_full,C(sector)[T.Educacion],0.0768,1.0798,0.4804,2.4269,0.8525655637287561
empresas,ciudad,geo_full,C(sector)[T.Energia],-0.4654,0.6279,0.1901,2.0733,0.4450641178741255
empresas,ciudad,geo_full,C(sector)[T.Financiero],-0.0793,0.9238,0.3959,2.1554,0.8545295909012536
empresas,ciudad,geo_full,C(sector)[T.Inmobiliario],0.3695,1.447,0.6612,3.1669,0.35514479087339457
empresas,ciudad,geo_full,C(sector)[T.Manufactura],-0.0318,0.9687,0.3805,2.4663,0.9467809301945286
empresas,ciudad,geo_full,C(sector)[T.Mineria],0.1813,1.1987,0.3827,3.7552,0.7557044313654231
