id_empresa,anio_prev,anio_eval,y_true,y_pred,y_score,n_siniestros_prev,n_siniestros_eval,clase_riesgo,sector,regla,acierto
E00001,2023,2024,0,0,0.0,0.0,0.0,1,Servicios profesionales,top10_anio_previo,1
E00002,2023,2024,0,0,0.0,0.0,0.0,3,Salud,top10_anio_previo,1
E00003,2023,2024,0,0,0.0,1.0,2.0,3,Salud,top10_anio_previo,1
E00004,2023,2024,0,1,1.0,3.0,1.0,4,Transporte,top10_anio_previo,0
E00005,2023,2024,0,0,0.0,0.0,0.0,3,Transporte,top10_anio_previo,1
E00006,2023,2024,0,0,0.0,0.0,0.0,4,Agricultura,top10_anio_previo,1
E00007,2023,2024,0,0,0.0,1.0,0.0,1,Educacion,top10_anio_previo,1
E00008,2023,2024,0,0,0.0,1.0,0.0,5,Construccion,top10_anio_previo,1
E00009,2023,2024,0,0,0.0,0.0,0.0,1,Inmobiliario,top10_anio_previo,1
E00010,2023,2024,0,0,0.0,0.0,0.0,4,Comercio,top10_anio_previo,1
E00011,2023,2024,0,0,0.0,0.0,0.0,2,Administracion publica,top10_anio_previo,1
E00012,2023,2024,1,1,1.0,7.0,3.0,3,Comercio,top10_anio_previo,1
E00013,2023,2024,0,0,0.0,1.0,1.0,1,Servicios profesionales,top10_anio_previo,1
E00014,2023,2024,0,1,1.0,3.0,1.0,4,Comercio,top10_anio_previo,0
E00015,2023,2024,1,1,1.0,5.0,3.0,5,Construccion,top10_anio_previo,1
E00016,2023,2024,0,0,0.0,1.0,2.0,5,Construccion,top10_anio_previo,1
E00017,2023,2024,0,0,0.0,0.0,0.0,1,Educacion,top10_anio_previo,1
E00018,2023,2024,0,0,0.0,0.0,0.0,5,Construccion,top10_anio_previo,1
E00019,2023,2024,1,0,0.0,2.0,4.0,3,Manufactura,top10_anio_previo,0
E00020,2023,2024,0,0,0.0,0.0,0.0,2,Inmobiliario,top10_anio_previo,1
E00021,2023,2024,0,0,0.0,2.0,2.0,4,Manufactura,top10_anio_previo,1
E00022,2023,2024,1,1,1.0,3.0,5.0,2,Servicios profesionales,top10_anio_previo,1
E00023,2023,2024,1,0,0.0,2.0,4.0,2,Administracion publica,top10_anio_previo,0
E00024,2023,2024,0,0,0.0,0.0,0.0,1,TIC,top10_anio_previo,1
E00025,2023,2024,0,0,0.0,2.0,1.0,2,Financiero,top10_anio_previo,1
E00026,2023,2024,0,0,0.0,0.0,0.0,1,Servicios profesionales,top10_anio_previo,1
E00027,2023,2024,0,0,0.0,2.0,0.0,1,Inmobiliario,top10_anio_previo,1
E00028,2023,2024,0,0,0.0,0.0,1.0,3,Comercio,top10_anio_previo,1
